,reaction,solved,input_reaction,rules,solved_by,confidence,R-ids,datasets,correct_reaction,wrong_reactions
0,[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15].[O]>>[CH:14](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9].O[CH:14]=[CH2:15],True,[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH:14](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9],"['append O to C-C bond', 'default single bond']",mcs-based,0.09700000286102295,['golden_dataset_1'],['golden_dataset'],,['[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH:14](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9].O[CH:14]=[CH2:15]']
1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:21][O:22][CH2:23][C:24]=1[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=1)[CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18].O>>[CH:26]1=[CH:25][C:24](=[CH:29][CH:28]=[CH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15].O[Si:5]([C:2]([CH3:1])([CH3:3])[CH3:4])([CH3:6])[CH3:7].[OH:16][S:17]([CH3:18])(=[O:19])=[O:20],True,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:21][O:22][CH2:23][C:24]=1[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=1)[CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18]>>[CH:26]1=[CH:25][C:24](=[CH:29][CH:28]=[CH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15],"['form M-OH', 'default single bond']",mcs-based,0.9860000014305115,['golden_dataset_2'],['golden_dataset'],[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:21][O:22][CH2:23][C:24]=1[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=1)[CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18]>>[CH:26]1=[CH:25][C:24](=[CH:29][CH:28]=[CH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15].O[Si:5]([C:2]([CH3:1])([CH3:3])[CH3:4])([CH3:6])[CH3:7].[OH:16][S:17]([CH3:18])(=[O:19])=[O:20],[]
2,[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]=1[CH:10]=[CH:9][C:8](=[CH:32][CH:31]=1)[CH:7]=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5].O>>[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]1=[CH:31][CH:32]=[C:8]([CH:7]=[CH:6][C:4]([OH:33])=[O:5])[CH:9]=[CH:10]1.O[CH2:2][CH3:1],True,[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]=1[CH:10]=[CH:9][C:8](=[CH:32][CH:31]=1)[CH:7]=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5]>>[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]1=[CH:31][CH:32]=[C:8]([CH:7]=[CH:6][C:4]([OH:33])=[O:5])[CH:9]=[CH:10]1,"['C-O Ester break', 'default single bond']",mcs-based,1.0,['golden_dataset_7'],['golden_dataset'],[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]=1[CH:10]=[CH:9][C:8](=[CH:32][CH:31]=1)[CH:7]=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5]>>[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]1=[CH:31][CH:32]=[C:8]([CH:7]=[CH:6][C:4]([OH:33])=[O:5])[CH:9]=[CH:10]1.O[CH2:2][CH3:1],[]
3,[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]=1[C:41](=[CH:43][C:25](=[CH:26][CH:27]=1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([C:13]([C:11]3=[N:12][C:8]([CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])=[CH:9][S:10]3)=[CH:14][CH:15]=2)[CH3:19])[CH3:42].[OH2:1]>>[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]1=[C:41]([CH:43]=[C:25]([CH:26]=[CH:27]1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([CH3:19])[C:13](=[CH:14][CH:15]=2)[C:11]3=[N:12][C:8](=[CH:9][S:10]3)[CH2:7][C:5](=[O:6])[OH:1])[CH3:42].O[CH2:3][CH3:2],True,[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]=1[C:41](=[CH:43][C:25](=[CH:26][CH:27]=1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([C:13]([C:11]3=[N:12][C:8]([CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])=[CH:9][S:10]3)=[CH:14][CH:15]=2)[CH3:19])[CH3:42].[OH2:1]>>[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]1=[C:41]([CH:43]=[C:25]([CH:26]=[CH:27]1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([CH3:19])[C:13](=[CH:14][CH:15]=2)[C:11]3=[N:12][C:8](=[CH:9][S:10]3)[CH2:7][C:5](=[O:6])[OH:1])[CH3:42],"['remove_water_catalyst', 'C-O Ester break', 'default single bond']",mcs-based,1.0,['golden_dataset_10'],['golden_dataset'],[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]=1[C:41](=[CH:43][C:25](=[CH:26][CH:27]=1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([C:13]([C:11]3=[N:12][C:8]([CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])=[CH:9][S:10]3)=[CH:14][CH:15]=2)[CH3:19])[CH3:42].[OH2:1]>>[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]1=[C:41]([CH:43]=[C:25]([CH:26]=[CH:27]1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([CH3:19])[C:13](=[CH:14][CH:15]=2)[C:11]3=[N:12][C:8](=[CH:9][S:10]3)[CH2:7][C:5](=[O:6])[OH:1])[CH3:42].O[CH2:3][CH3:2].[OH2:1],[]
4,[CH2:7]([CH2:8][CH2:9][CH:10]=[CH2:11])[CH3:6].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5].[O]>>[CH2:7]([CH2:8][CH2:9][CH:10]=[CH:4][C:2]([CH3:1])=[O:3])[CH3:6].O[CH:4]=[CH2:5],True,[CH2:7]([CH2:8][CH2:9][CH:10]=[CH2:11])[CH3:6].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH2:7]([CH2:8][CH2:9][CH:10]=[CH:4][C:2]([CH3:1])=[O:3])[CH3:6],"['append O to C-C bond', 'default single bond']",mcs-based,0.17100000381469727,['golden_dataset_11'],['golden_dataset'],,['[CH2:7]([CH2:8][CH2:9][CH:10]=[CH2:11])[CH3:6].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH2:7]([CH2:8][CH2:9][CH:10]=[CH:4][C:2]([CH3:1])=[O:3])[CH3:6].O[CH:4]=[CH2:5]']
5,[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11]([N:9]([CH3:10])[CH2:8][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:12])[CH:14]=[CH:15]3.[OH2:1]>>[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11](=[O:12])[N:9]([CH3:10])[CH2:8][CH2:7][C:5](=[O:6])[OH:1])[CH:14]=[CH:15]3.O[CH2:3][CH3:2],True,[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11]([N:9]([CH3:10])[CH2:8][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:12])[CH:14]=[CH:15]3.[OH2:1]>>[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11](=[O:12])[N:9]([CH3:10])[CH2:8][CH2:7][C:5](=[O:6])[OH:1])[CH:14]=[CH:15]3,"['remove_water_catalyst', 'C-O Ester break', 'default single bond']",mcs-based,1.0,['golden_dataset_12'],['golden_dataset'],[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11]([N:9]([CH3:10])[CH2:8][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:12])[CH:14]=[CH:15]3.[OH2:1]>>[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11](=[O:12])[N:9]([CH3:10])[CH2:8][CH2:7][C:5](=[O:6])[OH:1])[CH:14]=[CH:15]3.O[CH2:3][CH3:2].[OH2:1],[]
6,[CH2:22]([CH3:23])[O:21][P:19]([O:24][CH2:25][CH3:26])(=[O:20])[CH:13]([C:11]([O:10][CH2:15][CH3:2])=[O:12])[O:16][CH2:1][CH:17]=[CH2:18].[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:14].[OH2:27]>>[CH:17]([CH2:18][CH:3]([C:13]([C:11]([OH:27])=[O:12])=[O:16])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)=[CH2:1],False,[CH2:22]([CH3:23])[O:21][P:19]([O:24][CH2:25][CH3:26])(=[O:20])[CH:13]([C:11]([O:10][CH2:15][CH3:2])=[O:12])[O:16][CH2:1][CH:17]=[CH2:18].[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:14].[OH2:27]>>[CH:17]([CH2:18][CH:3]([C:13]([C:11]([OH:27])=[O:12])=[O:16])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)=[CH2:1],,,,['golden_dataset_16'],['golden_dataset'],,['[CH2:22]([CH3:23])[O:21][P:19]([O:24][CH2:25][CH3:26])(=[O:20])[CH:13]([C:11]([O:10][CH2:15][CH3:2])=[O:12])[O:16][CH2:1][CH:17]=[CH2:18].[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:14].[OH2:27]>>[CH:17]([CH2:18][CH:3]([C:13]([C:11]([OH:27])=[O:12])=[O:16])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)=[CH2:1]']
7,[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:8].[OH2:1]>>[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7](=[O:8])[C:5]([OH:1])=[O:6].O[CH2:3][CH3:2],True,[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:8].[OH2:1]>>[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7](=[O:8])[C:5]([OH:1])=[O:6],"['remove_water_catalyst', 'C-O Ester break', 'default single bond']",mcs-based,0.9850000143051147,['golden_dataset_18'],['golden_dataset'],[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:8].[OH2:1]>>[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7](=[O:8])[C:5]([OH:1])=[O:6].O[CH2:3][CH3:2].[OH2:1],[]
8,[CH:10]12[CH:5]([O:6][C:7](=[O:8])[CH2:9]1)[CH2:4][CH:3]([O:2][CH3:1])[O:13][C:11]2=[CH2:12].[OH2:14]>>[C:7]1(=[O:8])[O:6][CH:5]2[CH2:4][CH:3]([OH:13])[CH2:12][C:11](=[O:14])[CH:10]2[CH2:9]1.O[CH3:1],True,[CH:10]12[CH:5]([O:6][C:7](=[O:8])[CH2:9]1)[CH2:4][CH:3]([O:2][CH3:1])[O:13][C:11]2=[CH2:12].[OH2:14]>>[C:7]1(=[O:8])[O:6][CH:5]2[CH2:4][CH:3]([OH:13])[CH2:12][C:11](=[O:14])[CH:10]2[CH2:9]1,"['remove_water_catalyst', 'append O when next to O or N', 'default single bond']",mcs-based,0.972000002861023,['golden_dataset_21'],['golden_dataset'],[CH:10]12[CH:5]([O:6][C:7](=[O:8])[CH2:9]1)[CH2:4][CH:3]([O:2][CH3:1])[O:13][C:11]2=[CH2:12].[OH2:14]>>[C:7]1(=[O:8])[O:6][CH:5]2[CH2:4][CH:3]([OH:13])[CH2:12][C:11](=[O:14])[CH:10]2[CH2:9]1.O[CH3:1].[OH2:14],[]
9,[O:41]=[C:39]([C:38](=[O:42])[Cl:37])[Cl:40].[O:9]=[S:8](=[O:10])([C:7]1=[C:2]([CH:3]=[C:4]([CH:5]=[CH:6]1)[CH:12]([C:13]([NH:15][C:16]2=[N:17][N:18]([CH2:21][C:22]=3[CH:23]=[C:24]([C:25](=[O:27])[OH:26])[CH:28]=[CH:29][CH:30]=3)[CH:19]=[CH:20]2)=[O:14])[CH2:31][CH:32]4[CH2:33][CH2:34][CH2:35][CH2:36]4)[Cl:1])[CH3:11]>>[O:9]=[S:8](=[O:10])([C:7]1=[C:2]([CH:3]=[C:4]([CH:5]=[CH:6]1)[CH:12]([C:13]([NH:15][C:16]2=[N:17][N:18]([CH:19]=[CH:20]2)[CH2:21][C:22]=3[CH:23]=[C:24]([C:25](=[O:27])[Cl:37])[CH:28]=[CH:29][CH:30]=3)=[O:14])[CH2:31][CH:32]4[CH2:33][CH2:34][CH2:35][CH2:36]4)[Cl:1])[CH3:11].[OH:26][C:38]([C:39]([Cl:40])=[O:41])=[O:42],True,[O:41]=[C:39]([C:38](=[O:42])[Cl:37])[Cl:40].[O:9]=[S:8](=[O:10])([C:7]1=[C:2]([CH:3]=[C:4]([CH:5]=[CH:6]1)[CH:12]([C:13]([NH:15][C:16]2=[N:17][N:18]([CH2:21][C:22]=3[CH:23]=[C:24]([C:25](=[O:27])[OH:26])[CH:28]=[CH:29][CH:30]=3)[CH:19]=[CH:20]2)=[O:14])[CH2:31][CH:32]4[CH2:33][CH2:34][CH2:35][CH2:36]4)[Cl:1])[CH3:11]>>[O:9]=[S:8](=[O:10])([C:7]1=[C:2]([CH:3]=[C:4]([CH:5]=[CH:6]1)[CH:12]([C:13]([NH:15][C:16]2=[N:17][N:18]([CH:19]=[CH:20]2)[CH2:21][C:22]=3[CH:23]=[C:24]([C:25](=[O:27])[Cl:37])[CH:28]=[CH:29][CH:30]=3)=[O:14])[CH2:31][CH:32]4[CH2:33][CH2:34][CH2:35][CH2:36]4)[Cl:1])[CH3:11],['default single bond'],mcs-based,0.9990000128746033,['golden_dataset_22'],['golden_dataset'],[O:41]=[C:39]([C:38](=[O:42])[Cl:37])[Cl:40].[O:9]=[S:8](=[O:10])([C:7]1=[C:2]([CH:3]=[C:4]([CH:5]=[CH:6]1)[CH:12]([C:13]([NH:15][C:16]2=[N:17][N:18]([CH2:21][C:22]=3[CH:23]=[C:24]([C:25](=[O:27])[OH:26])[CH:28]=[CH:29][CH:30]=3)[CH:19]=[CH:20]2)=[O:14])[CH2:31][CH:32]4[CH2:33][CH2:34][CH2:35][CH2:36]4)[Cl:1])[CH3:11]>>[O:9]=[S:8](=[O:10])([C:7]1=[C:2]([CH:3]=[C:4]([CH:5]=[CH:6]1)[CH:12]([C:13]([NH:15][C:16]2=[N:17][N:18]([CH:19]=[CH:20]2)[CH2:21][C:22]=3[CH:23]=[C:24]([C:25](=[O:27])[Cl:37])[CH:28]=[CH:29][CH:30]=3)=[O:14])[CH2:31][CH:32]4[CH2:33][CH2:34][CH2:35][CH2:36]4)[Cl:1])[CH3:11].[OH:26][C:38]([C:39]([Cl:40])=[O:41])=[O:42],[]
