id,R-ids,datasets,expected_reaction,wrong_reactions,reaction
0,['golden_dataset_1'],['golden_dataset'],,"['C=CCSCC(C)=O.C=CC(O)C(C)N.O>>CC(=O)CSCC=CC(O)C(C)N.C=CO', 'C=CCSCC(C)=O.C=CC(O)C(C)N>>CC(=O)CSCC=CC(O)C(C)N.C=CO']",[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH:14](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9]
1,['golden_dataset_2'],['golden_dataset'],[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:21][O:22][CH2:23][C:24]=1[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=1)[CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18].O>>[CH:26]1=[CH:25][C:24](=[CH:29][CH:28]=[CH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15].O[Si:5]([C:2]([CH3:1])([CH3:3])[CH3:4])([CH3:6])[CH3:7].[OH:16][S:17]([CH3:18])(=[O:19])=[O:20],[],[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:21][O:22][CH2:23][C:24]=1[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=1)[CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18]>>[CH:26]1=[CH:25][C:24](=[CH:29][CH:28]=[CH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15]
2,['golden_dataset_7'],['golden_dataset'],[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]=1[CH:10]=[CH:9][C:8](=[CH:32][CH:31]=1)[CH:7]=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5].O>>[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]1=[CH:31][CH:32]=[C:8]([CH:7]=[CH:6][C:4]([OH:33])=[O:5])[CH:9]=[CH:10]1.O[CH2:2][CH3:1],[],[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]=1[CH:10]=[CH:9][C:8](=[CH:32][CH:31]=1)[CH:7]=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5]>>[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]1=[CH:31][CH:32]=[C:8]([CH:7]=[CH:6][C:4]([OH:33])=[O:5])[CH:9]=[CH:10]1
3,['Jaworski_229'],['Jaworski'],[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]=1[C:41](=[CH:43][C:25](=[CH:26][CH:27]=1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([C:13]([C:11]3=[N:12][C:8]([CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])=[CH:9][S:10]3)=[CH:14][CH:15]=2)[CH3:19])[CH3:42].[OH2:1]>>[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]1=[C:41]([CH:43]=[C:25]([CH:26]=[CH:27]1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([CH3:19])[C:13](=[CH:14][CH:15]=2)[C:11]3=[N:12][C:8](=[CH:9][S:10]3)[CH2:7][C:5](=[O:6])[OH:1])[CH3:42].O[CH2:3][CH3:2],[],CCOC(=O)Cc1csc(n1)-c1ccc(cc1C)C(CC)(CC)c1ccc(C=CC(O)(C(F)(F)F)C(F)(F)F)c(C)c1.O>>CCC(CC)(c1ccc(C=CC(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(-c2nc(CC(O)=O)cs2)c(C)c1
4,['golden_dataset_11'],['golden_dataset'],,"['C=CCCCC.C=CC(C)=O.O>>CCCCC=CC(C)=O.C=CO', 'C=CCCCC.C=CC(C)=O>>CCCCC=CC(C)=O.C=CO']",[CH2:7]([CH2:8][CH2:9][CH:10]=[CH2:11])[CH3:6].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH2:7]([CH2:8][CH2:9][CH:10]=[CH:4][C:2]([CH3:1])=[O:3])[CH3:6]
5,['Jaworski_119'],['Jaworski'],[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11]([N:9]([CH3:10])[CH2:8][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:12])[CH:14]=[CH:15]3.[OH2:1]>>[CH2:20]([CH3:21])[CH:19]([CH2:22][CH3:23])[CH:18]([C:24]=1[O:25][C:26]=2[C:32](=[CH:31][C:29](=[CH:28][CH:27]=2)[F:30])[C:33]=1[CH3:34])[NH:17][C:16]3=[CH:35][CH:36]=[C:13]([C:11](=[O:12])[N:9]([CH3:10])[CH2:8][CH2:7][C:5](=[O:6])[OH:1])[CH:14]=[CH:15]3.O[CH2:3][CH3:2],[],CCOC(=O)CCN(C)C(=O)c1ccc(NC(C(CC)CC)c2oc3ccc(F)cc3c2C)cc1.O>>CCC(CC)C(Nc1ccc(cc1)C(=O)N(C)CCC(O)=O)c1oc2ccc(F)cc2c1C
6,['golden_dataset_16'],['golden_dataset'],,['C=CCOC(C(=O)OCC)P(=O)(OCC)OCC.O=Cc1ccccc1.O>>C=CCC(C(=O)C(=O)O)c1ccccc1'],[CH2:22]([CH3:23])[O:21][P:19]([O:24][CH2:25][CH3:26])(=[O:20])[CH:13]([C:11]([O:10][CH2:15][CH3:2])=[O:12])[O:16][CH2:1][CH:17]=[CH2:18].[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:14].[OH2:27]>>[CH:17]([CH2:18][CH:3]([C:13]([C:11]([OH:27])=[O:12])=[O:16])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)=[CH2:1]
7,['Jaworski_252'],['Jaworski'],[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])=[O:8].[OH2:1]>>[CH:10]=1[CH:11]=[C:12]([Br:13])[S:14][C:9]=1[C:7](=[O:8])[C:5]([OH:1])=[O:6].O[CH2:3][CH3:2],[],CCOC(=O)C(=O)c1ccc(Br)s1.O>>OC(=O)C(=O)c1ccc(Br)s1
8,['golden_dataset_21'],['golden_dataset'],[CH:10]12[CH:5]([O:6][C:7](=[O:8])[CH2:9]1)[CH2:4][CH:3]([O:2][CH3:1])[O:13][C:11]2=[CH2:12].[OH2:14]>>[C:7]1(=[O:8])[O:6][CH:5]2[CH2:4][CH:3]([OH:13])[CH2:12][C:11](=[O:14])[CH:10]2[CH2:9]1.O[CH3:1],[],[CH:10]12[CH:5]([O:6][C:7](=[O:8])[CH2:9]1)[CH2:4][CH:3]([O:2][CH3:1])[O:13][C:11]2=[CH2:12].[OH2:14]>>[C:7]1(=[O:8])[O:6][CH:5]2[CH2:4][CH:3]([OH:13])[CH2:12][C:11](=[O:14])[CH:10]2[CH2:9]1
9,['Jaworski_282'],['Jaworski'],CS(=O)(=O)c1ccc(cc1Cl)C(CC1CCCC1)C(=O)Nc1ccn(Cc2cccc(c2)C(O)=O)n1.ClC(=O)C(Cl)=O>>CS(=O)(=O)c1ccc(cc1Cl)C(CC1CCCC1)C(=O)Nc1ccn(Cc2cccc(c2)C(Cl)=O)n1.O=C(O)C(=O)Cl,[],CS(=O)(=O)c1ccc(cc1Cl)C(CC1CCCC1)C(=O)Nc1ccn(Cc2cccc(c2)C(O)=O)n1.ClC(=O)C(Cl)=O>>CS(=O)(=O)c1ccc(cc1Cl)C(CC1CCCC1)C(=O)Nc1ccn(Cc2cccc(c2)C(Cl)=O)n1
